,hotel_id,repeating_amenities_score
456,89844,0
457,86854,0
458,15250,0
459,86736,0
460,79255,0
461,82807,2
462,99578,2
463,60847,2
464,83738,2
465,87020,2
466,47968,0
467,2051,0
468,92229,2
469,62042,2
470,41263,2
471,44253,2
472,93323,2
473,94046,2
474,62492,0
475,39604,0
476,76541,0
477,37503,0
478,4472,0
479,93149,2
480,87746,2
481,76091,2
482,84922,0
483,99730,2
484,45724,0
485,79398,2
486,73121,2
487,45544,0
488,44680,0
489,3083,0
490,37337,2
491,53346,0
492,101069,2
493,45153,2
494,20045,0
495,57860,0
496,96161,2
497,78380,2
498,99120,0
499,53374,0
500,85673,2
501,75506,0
502,77469,2
503,91180,2
504,91197,0
505,73264,2
506,88699,2
507,89532,2
508,61018,0
509,75815,2
510,74780,2
511,101955,2
512,104177,2
513,10159,0
514,7316,0
515,86264,2
516,98836,2
517,99896,2
518,97618,2
519,75776,0
520,58141,2
521,78048,2
522,43772,0
523,14794,0
524,99606,2
525,87785,2
526,88249,2
527,5389,0
528,12558,0
529,98872,2
530,36338,0
531,56234,2
532,104042,2
533,36161,0
534,94631,2
535,7437,0
536,76141,2
537,93461,2
538,96434,2
539,10615,0
540,35126,0
541,93419,2
542,45940,0
543,51096,0
544,90145,2
545,1896,0
546,737,0
547,18524,2
548,81612,0
549,59055,2
550,8792,0
551,94305,0
552,15073,0
553,37815,0
554,9996,0
555,15087,0
556,47071,0
557,62053,2
558,94167,0
559,99741,2
560,57216,0
561,73129,2
562,45150,0
563,97770,2
564,100349,2
565,78639,2
566,8660,0
567,89411,2
568,86449,2
569,92409,2
570,58591,2
571,82678,2
572,98833,2
573,16912,0
574,101370,2
575,84933,2
576,61865,2
577,86584,2
578,86407,2
579,5350,0
580,94797,2
581,90750,2
582,80892,2
583,60698,2
584,56040,0
585,39165,2
586,83763,2
587,892,0
588,97182,2
589,102734,2
590,13914,0
591,98220,2
592,84618,2
593,54035,0
594,79682,0
595,91166,2
596,86404,2
597,99221,2
598,98321,2
599,75320,2
600,75022,2
601,96552,2
602,92609,2
603,57058,0
604,93090,2
605,102945,2
606,41190,0
607,42852,0
608,76968,2
609,94603,2
610,103260,2
611,74080,0
612,101617,2
613,85189,0
614,89639,2
615,41944,0
616,84590,2
617,93360,2
618,47065,0
619,20242,0
620,86801,2
621,7113,0
622,77531,2
623,74966,2
624,20290,0
625,14429,0
626,42858,0
627,93669,2
628,74665,0
629,84849,2
630,3052,0
631,61834,2
632,102208,2
633,5617,0
634,97438,2
635,84863,2
636,82059,2
637,89082,2
638,104025,2
639,102076,2
640,42813,0
641,81879,2
642,89335,2
643,6227,0
644,75281,2
645,17719,0
646,43316,0
647,55095,2
648,75323,2
649,76617,0
650,88916,2
651,83828,2
652,90862,2
653,91436,2
654,43184,0
655,50502,0
656,79601,2
657,50916,2
658,88325,2
659,104306,2
660,684,2
661,90851,2
662,44936,2
663,97902,2
664,73616,0
665,92499,2
666,87861,2
667,95368,2
668,95790,0
669,58259,2
670,93402,2
671,39685,0
672,90550,2
673,99533,2
674,55452,0
675,49425,0
676,3491,0
677,37469,0
678,1525,0
679,92060,2
680,74690,0
681,9051,0
682,41671,0
683,93126,2
684,35244,0
685,96546,2
686,46151,0
687,45566,0
688,85929,2
689,11163,0
690,50623,2
691,97455,2
692,85923,0
693,96088,2
694,38048,0
695,11560,0
696,53188,2
697,75717,2
698,62579,2
699,37019,2
700,45527,0
701,48078,0
702,42380,0
703,48812,0
704,40141,0
705,96237,2
706,90263,2
707,60512,2
708,73180,2
709,76681,2
710,90232,0
711,55438,2
712,94884,2
713,89965,2
714,94873,0
715,95486,2
716,48801,0
717,62422,0
718,101626,2
719,17570,2
720,81851,2
721,99525,2
722,48196,2
723,41069,2
724,37320,0
725,61530,0
726,245,0
727,47667,0
728,87704,0
729,42515,0
730,86818,2
731,14862,0
732,91439,2
733,52592,2
734,47777,0
735,394,0
736,53332,2
737,18622,0
738,100312,2
739,11892,0
740,90089,2
741,100695,2
742,39854,0
743,43170,0
744,73824,2
745,46424,0
746,4118,0
747,97860,2
748,62430,2
749,79958,2
750,50066,2
751,37590,2
752,101927,2
753,73492,2
754,103980,2
755,86517,2
756,37002,0
757,38479,2
758,58521,2
759,56631,2
760,86832,0
761,96074,2
762,95199,2
763,88469,2
764,79969,2
765,81418,2
766,9664,0
767,2329,0
768,48106,2
769,17562,0
770,75429,2
771,92065,2
772,97564,2
773,85478,2
774,46404,2
775,82739,0
776,48800,2
777,57772,2
778,89177,2
779,35508,0
780,44016,0
781,62694,0
782,86921,0
783,14538,0
784,60019,2
785,4688,0
786,89039,2
787,85442,2
788,103858,2
789,87084,2
790,77817,2
791,37145,0
792,100871,2
793,104148,2
794,98731,2
795,46274,0
796,86049,2
797,59721,2
798,84997,2
799,92664,2
800,8274,0
801,11852,0
802,92785,2
803,79901,2
804,46688,0
805,53300,2
806,85315,0
807,57775,2
808,89627,2
809,95145,2
810,74355,2
811,84103,2
812,7073,0
813,45681,0
814,87512,2
815,94684,2
816,2424,0
817,16352,0
818,82742,2
819,27284,2
820,15435,0
821,92788,2
822,13781,0
823,41774,0
824,74051,2
825,98461,2
826,74220,2
827,81715,2
828,94248,2
829,92912,2
830,52985,0
831,81265,0
832,77370,2
833,79794,2
834,5439,0
835,85276,2
836,93078,2
837,92158,2
838,47025,2
839,77955,0
840,104300,2
841,49714,0
842,90648,2
843,58526,2
844,59440,0
845,101771,2
846,48229,0
847,51925,2
848,6353,0
849,91618,2
850,77488,2
851,54827,0
852,59544,2
853,94428,2
854,96183,2
855,75426,2
856,62899,2
857,48336,2
858,38337,0
859,17699,0
860,79493,2
861,4390,0
862,84840,2
863,77555,2
864,98447,2
865,10839,0
866,88628,2
867,89379,2
868,94754,2
869,18273,0
870,80056,0
871,89492,2
872,39662,0
873,80205,2
874,86204,2
875,16934,0
876,56726,2
877,10527,0
878,47911,0
879,36245,2
880,44145,0
881,62733,2
882,96399,2
883,96793,2
884,56546,0
885,61099,0
886,51354,2
887,35505,0
888,102801,2
889,81839,2
890,77406,0
891,73941,0
892,40568,0
893,49118,0
894,100109,2
895,35632,0
896,97845,2
897,48527,0
898,100548,2
899,60911,2
900,12285,0
901,93086,2
902,5169,0
903,38942,0
904,79004,2
905,17558,2
906,99974,2
907,78416,2
908,88426,2
909,40894,2
910,13486,0
911,9638,2
912,8426,0
913,84851,2
914,50614,0
915,62967,2
916,94121,2
917,57173,0
918,85138,2
919,60337,0
920,74377,2
921,57325,2
922,61701,2
923,47011,0
924,52982,0
925,45324,2
926,93964,2
927,81847,2
928,85284,0
929,15719,0
930,55277,2
931,75575,2
932,91317,2
933,102536,2
934,42103,0
935,38205,0
936,635,0
937,75868,2
938,47588,2
939,62719,2
940,88412,0
941,90091,2
942,101420,2
943,93494,2
944,54923,2
945,12473,0
946,75702,2
947,19499,0
948,8128,0
949,3228,0
950,46296,0
951,4069,0
952,88799,2
953,1855,2
954,15943,0
955,48993,0
956,10405,0
957,98370,0
958,14433,0
959,94447,2
960,101031,2
961,9193,0
962,50321,0
963,83548,2
964,57369,2
965,101925,2
966,101045,2
967,94011,2
968,101174,2
969,81152,2
970,75299,2
971,97417,2
972,103416,2
973,9047,0
974,82336,2
975,38320,2
976,95040,2
977,78761,2
978,40314,0
979,89958,0
980,79802,0
981,93870,2
982,73797,2
983,76053,2
984,37915,2
985,100,0
986,44454,0
987,46431,0
988,85019,2
989,373,0
990,88892,2
991,79954,0
992,99999,2
993,86369,2
994,11606,0
995,62145,0
996,85745,2
997,58365,2
998,87148,2
999,97321,2
1000,2499,0
1001,58109,2
1002,89373,2
1003,98643,2
1004,98466,2
1005,94295,2
1006,45427,2
1007,51671,0
1008,79158,2
1009,50020,0
1010,38359,0
1011,78165,2
1012,40615,0
1013,78739,0
1014,81163,2
1015,88785,2
1016,84845,2
1017,17009,0
1018,13257,0
1019,87300,2
1020,14129,0
1021,86968,2
1022,39099,2
1023,102257,2
1024,82924,2
1025,95383,2
1026,100103,2
1027,92492,2
1028,14447,0
1029,89370,2
1030,6364,0
1031,93246,2
1032,45098,0
1033,56129,2
1034,59771,0
1035,19372,2
1036,2156,0
1037,85430,2
1038,61838,2
1039,94742,2
1040,73938,2
1041,90734,2
1042,46743,0
1043,53029,0
1044,1113,0
1045,75324,2
1046,89955,0
1047,54503,0
1048,74264,2
1049,104004,2
1050,44634,2
