,hotel_id,hotel_amenities,image_available_for_category
8180,40104,Parking Facility|Dining Area,
8181,40720,Parking Facility|Dining Area,Dining
8182,62664,Parking Facility|Dining Area,
8183,97379,Parking Facility|In-house Restaurant,
8184,97851,Parking Facility|Gym|Swimming Pool|Dining Area,
8185,2422,Parking Facility|Conference Room|Dining Area,Dining
8186,2515,Parking Facility|Conference Room,
8187,3606,Bar|Swimming Pool|In-house Restaurant|Dining Area|Parking Facility,Restaurant|Pool
8188,80509,Parking Facility,
8189,80152,Parking Facility|Dining Area,
8190,73281,Dining Area|Parking Facility,
8191,4624,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8192,42045,Dining Area|Parking Facility,Dining
8193,89723,Dining Area,
8194,45302,Dining Area|Parking Facility,
8195,97812,Dining Area|In-house Restaurant|Parking Facility,Parking|Restaurant
8196,39041,Parking Facility,
8197,16597,Parking Facility,
8198,75272,Parking Facility|Dining Area,
8199,80141,Parking Facility|In-house Restaurant,
8200,62084,Parking Facility,
8201,75396,Parking Facility|In-house Restaurant|Dining Area,Restaurant
8202,103170,Parking Facility|Bar|Swimming Pool,Pool
8203,73267,Parking Facility,
8204,74513,Parking Facility|Dining Area,Dining
8205,78979,Parking Facility,
8206,82267,Parking Facility,
8207,89999,Parking Facility,
8208,76158,Parking Facility|In-house Restaurant|Gym,
8209,166,Parking Facility|Conference Room|Dining Area,
8210,93492,Parking Facility,
8211,94088,Parking Facility,
8212,48013,Parking Facility,
8213,12117,Conference Room|Parking Facility,
8214,2214,Conference Room|In-house Restaurant|Parking Facility|Dining Area,Restaurant
8215,46970,Conference Room|In-house Restaurant|Dining Area|Bar,Restaurant
8216,103822,Conference Room|Parking Facility,
8217,2824,Conference Room|Dining Area|Parking Facility,
8218,15073,Conference Room|Parking Facility,
8219,100785,Swimming Pool|Parking Facility,Parking|Pool
8220,48722,In-house Restaurant|Dining Area,
8221,47726,In-house Restaurant|Dining Area,
8222,104537,In-house Restaurant|Parking Facility,
8223,85977,In-house Restaurant|Parking Facility,Restaurant
8224,7487,In-house Restaurant|Dining Area|Parking Facility|Bar,Restaurant
8225,7479,In-house Restaurant|Dining Area|Parking Facility,Restaurant
8226,79592,Parking Facility,
8227,80453,Parking Facility|Dining Area,
8228,80329,Parking Facility,
8229,93818,Parking Facility,
8230,76406,Parking Facility,
8231,30809,Parking Facility,
8232,17067,Dining Area|Parking Facility,Dining
8233,62371,Dining Area,
8234,47414,Dining Area|Parking Facility,
8235,89276,Dining Area,
8236,98386,Dining Area,
8237,52980,Dining Area|Parking Facility,
8238,74656,Dining Area,Dining
8239,76434,Dining Area|Parking Facility,
8240,77320,Dining Area,
8241,35759,Dining Area,
8242,46829,Dining Area,
8243,36220,Dining Area,
8244,9850,Parking Facility,
8245,78242,Parking Facility,Parking
8246,44129,Parking Facility,
8247,101401,Parking Facility,
8248,90179,Parking Facility,
8249,98985,Parking Facility,
8250,8103,Parking Facility,
8251,101387,Parking Facility,
8252,88078,Parking Facility,
8253,53413,Parking Facility,
8254,55326,Parking Facility,
8255,54451,Parking Facility,
8256,79311,Parking Facility,
8257,92288,Parking Facility,
8258,397,In-house Restaurant|Dining Area,Restaurant
8259,16091,In-house Restaurant|Parking Facility|Dining Area,Restaurant
8260,5471,Dining Area|In-house Restaurant,Restaurant
8261,46472,Dining Area|Parking Facility|In-house Restaurant|Conference Room,Restaurant
8262,48711,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8263,101668,Dining Area,
8264,62343,Dining Area|In-house Restaurant|Conference Room|Bar|Parking Facility|Garden/Backyard,Restaurant
8265,18799,Dining Area|Parking Facility|Conference Room|In-house Restaurant,Restaurant
8266,9543,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8267,10159,Dining Area|Parking Facility|Bar|Conference Room|In-house Restaurant,Restaurant
8268,20017,Dining Area,
8269,52443,Garden/Backyard,
8270,52921,Garden/Backyard|Dining Area|Swimming Pool,Pool
8271,45597,Garden/Backyard|Dining Area|Parking Facility|In-house Restaurant|Conference Room,Lawn|Restaurant
8272,75596,Dining Area|Parking Facility|Conference Room|In-house Restaurant,
8273,79519,Gym|Swimming Pool|Dining Area,Pool
8274,999,Parking Facility|Conference Room|Dining Area|In-house Restaurant,Restaurant
8275,89557,Bar|Parking Facility|In-house Restaurant,
8276,57098,Parking Facility|Dining Area|Swimming Pool|Conference Room|In-house Restaurant,Pool|Restaurant
8277,57677,Parking Facility,
8278,62889,Parking Facility,
8279,37784,Dining Area|Parking Facility,
8280,47836,Dining Area|Parking Facility|Garden/Backyard,Dining
8281,4897,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8282,422,Dining Area|Parking Facility|In-house Restaurant|Conference Room,Restaurant
8283,78332,Gym|Dining Area|Parking Facility|Swimming Pool,Pool|Parking|Dining
8284,101941,Gym|Parking Facility|Swimming Pool|In-house Restaurant,Parking
8285,48857,Dining Area|In-house Restaurant,Restaurant
8286,59947,Dining Area|Parking Facility|Bar|Conference Room|In-house Restaurant,Restaurant
8287,89996,Gym|Parking Facility|Swimming Pool,
8288,92235,Dining Area|Conference Room|Parking Facility|Swimming Pool|In-house Restaurant,Restaurant|Pool
8289,91790,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8290,42433,Dining Area|Swimming Pool,Pool
8291,40515,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8292,4472,Dining Area|Bar|Conference Room|Parking Facility|In-house Restaurant,Restaurant
8293,5170,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8294,57801,Dining Area|Parking Facility|Conference Room|In-house Restaurant,Restaurant
8295,76712,Dining Area|Parking Facility|In-house Restaurant,Restaurant
8296,97019,Gym|Parking Facility|Swimming Pool,
8297,90733,Dining Area|Parking Facility,
8298,76237,Parking Facility,
8299,78321,Parking Facility|Dining Area|Swimming Pool,
8300,55438,Parking Facility,
8301,92555,Parking Facility|In-house Restaurant|Conference Room,
8302,94642,Parking Facility,
8303,103426,Parking Facility|Bar,
8304,99567,Parking Facility,
8305,98678,Parking Facility,
8306,97072,Bar|Parking Facility|In-house Restaurant,
8307,100917,Parking Facility|Conference Room,
8308,81744,Parking Facility,
8309,84326,Parking Facility,
8310,39744,Parking Facility,
8311,79227,Parking Facility,
8312,13841,Parking Facility,
8313,99975,Parking Facility,Parking
8314,35126,Parking Facility,
8315,52896,Parking Facility,
8316,9107,Parking Facility|Dining Area|In-house Restaurant,Restaurant
8317,95379,Parking Facility,
8318,35416,Parking Facility,
8319,82633,Parking Facility,
8320,84593,Parking Facility,
8321,95528,Parking Facility|Swimming Pool|Conference Room,
8322,97328,Parking Facility,
8323,4883,Parking Facility,
8324,4444,Parking Facility|Conference Room,
8325,14018,Parking Facility,
8326,47355,Parking Facility,
8327,44818,Parking Facility|Garden/Backyard,
8328,44233,Parking Facility|In-house Restaurant,Restaurant
8329,80557,Parking Facility,
8330,104787,Parking Facility,
8331,104053,Parking Facility,
8332,61283,Parking Facility,
8333,56780,Parking Facility|Garden/Backyard,
8334,49647,Parking Facility,
8335,79944,Parking Facility,
8336,38228,Parking Facility|Conference Room|In-house Restaurant|Dining Area,Restaurant
8337,51866,Parking Facility,
8338,44945,Parking Facility,
8339,101077,Parking Facility,
8340,88041,Parking Facility,
8341,88969,Parking Facility,
8342,8472,Parking Facility|Conference Room|In-house Restaurant|Gym|Swimming Pool|Bar,
8343,99100,Parking Facility|In-house Restaurant,
8344,81021,Parking Facility|Swimming Pool,Pool
8345,39303,Parking Facility,
8346,7881,Parking Facility,
8347,101499,Parking Facility,
8348,88919,Parking Facility,
8349,36473,Parking Facility,
8350,38220,Parking Facility,
8351,15233,Parking Facility,
8352,48854,Parking Facility,
8353,18926,Parking Facility|In-house Restaurant|Dining Area,Restaurant
8354,74603,Parking Facility|In-house Restaurant,Restaurant
8355,102742,Parking Facility,
8356,104762,Parking Facility|In-house Restaurant,
8357,91616,Parking Facility,
8358,90184,Parking Facility|In-house Restaurant|Garden/Backyard,
8359,93596,Parking Facility,Parking
8360,41561,Parking Facility|Dining Area|Conference Room|In-house Restaurant,Restaurant
8361,95666,Conference Room|Parking Facility|In-house Restaurant,Restaurant
8362,40636,Parking Facility|Conference Room,
8363,18200,Parking Facility,Parking
8364,37525,Parking Facility,
8365,58155,In-house Restaurant|Parking Facility|Conference Room,
8366,3243,Parking Facility,
8367,15641,Parking Facility,
8368,17334,Parking Facility,
8369,43758,Parking Facility,
8370,100028,Parking Facility,
8371,101502,Parking Facility,
8372,12845,Conference Room|In-house Restaurant|Dining Area,
8373,48691,Conference Room,
8374,88483,Parking Facility,
8375,93472,Parking Facility,
8376,86244,Parking Facility,
8377,91793,Parking Facility,
8378,89107,Parking Facility,
8379,62807,Parking Facility,
8380,20307,Dining Area|In-house Restaurant,Restaurant
8381,90581,In-house Restaurant,
8382,8905,Parking Facility,
8383,89667,In-house Restaurant,
8384,93804,Board Games|Garden/Backyard|Parking Facility|Conference Room|In-house Restaurant|Bar|Dining Area,Restaurant
8385,50986,Spa|Dining Area|In-house Restaurant|Bar|Parking Facility,Restaurant
8386,55992,Board Games|Garden/Backyard|In-house Restaurant|Dining Area|Parking Facility,Restaurant|Fun Area
8387,79297,Spa|Parking Facility,
8388,7167,In-house Restaurant|Dining Area,Restaurant
8389,7015,In-house Restaurant|Dining Area|Parking Facility,
8390,50674,In-house Restaurant|Bar|Parking Facility|Dining Area,Restaurant
8391,38428,In-house Restaurant|Dining Area|Bar,Restaurant
8392,38597,In-house Restaurant|Conference Room|Dining Area|Parking Facility,Restaurant
8393,89917,Garden/Backyard,
8394,78954,Parking Facility|Dining Area,
8395,61066,Parking Facility|Dining Area,
8396,89740,Parking Facility,
8397,50553,Parking Facility|Dining Area,
8398,35905,Parking Facility,
8399,35880,Parking Facility|Dining Area,
8400,49678,Parking Facility|Dining Area,
8401,15874,Parking Facility,
8402,93793,Parking Facility,
8403,86002,Parking Facility,
8404,101547,Parking Facility|Dining Area|In-house Restaurant,Restaurant|Parking
8405,99007,Parking Facility|Dining Area,
8406,101685,Parking Facility|In-house Restaurant,
8407,55050,Bar|In-house Restaurant|Dining Area|Parking Facility,
8408,82447,Parking Facility,
8409,14077,Parking Facility,
8410,52952,Parking Facility,
8411,52485,Bar|Dining Area|Parking Facility,
8412,42149,Parking Facility|Dining Area|In-house Restaurant,Restaurant
8413,54763,Bar|Parking Facility|In-house Restaurant|Dining Area,Restaurant
8414,4638,Parking Facility|In-house Restaurant|Dining Area,
8415,35461,Parking Facility,
8416,62484,Dining Area|Parking Facility|Conference Room|In-house Restaurant,
8417,1381,Dining Area|Conference Room|Swimming Pool|In-house Restaurant|Parking Facility,Restaurant|Pool
8418,80658,Gym|Parking Facility|Swimming Pool|Dining Area,Pool
8419,86756,Dining Area|In-house Restaurant,
8420,55365,Dining Area,
8421,49526,Dining Area,
8422,90955,Gym,
8423,17202,Dining Area|Parking Facility,
8424,10168,Dining Area|Swimming Pool|In-house Restaurant|Parking Facility,Pool|Restaurant
8425,49681,Parking Facility,
8426,98304,Parking Facility,
8427,99733,Bar|Swimming Pool|In-house Restaurant|Dining Area|Parking Facility,Restaurant|Pool|Parking
8428,99924,Parking Facility,
8429,75258,Parking Facility|In-house Restaurant|Dining Area,Restaurant
8430,1328,Parking Facility|Conference Room|In-house Restaurant|Dining Area,Restaurant
8431,9290,Parking Facility|Dining Area|Conference Room|In-house Restaurant,Restaurant
8432,19168,Parking Facility,
8433,82433,Parking Facility,
8434,39047,Parking Facility|Dining Area,Dining
8435,11523,Parking Facility|Gym,
8436,11838,Parking Facility,
8437,87313,Parking Facility|Conference Room|In-house Restaurant|Dining Area,Restaurant
8438,1494,Dining Area|Parking Facility,
8439,42506,Dining Area|Parking Facility,
8440,47878,Dining Area|In-house Restaurant,
8441,92575,Parking Facility,
8442,97986,Parking Facility|Conference Room|In-house Restaurant|Dining Area,Dining
8443,14662,Parking Facility,
8444,1643,Parking Facility|In-house Restaurant|Dining Area,Restaurant
8445,54777,Parking Facility|Conference Room|In-house Restaurant|Dining Area,
8446,36940,Parking Facility|In-house Restaurant|Dining Area,Restaurant
8447,104438,Parking Facility,
8448,47403,Parking Facility,
8449,48885,Parking Facility,
8450,11349,Parking Facility,
8451,80622,Parking Facility,Parking
8452,102607,Parking Facility,
8453,62332,Parking Facility,
8454,81814,Parking Facility,
8455,57095,Parking Facility|Dining Area,
8456,5679,Parking Facility,
8457,53728,Bar|Dining Area,Restaurant
8458,86143,Swimming Pool|Parking Facility,
8459,2720,Conference Room|In-house Restaurant|Dining Area|Parking Facility,
8460,57421,Conference Room|Dining Area|Parking Facility,
8461,98265,Swimming Pool|Gym|Dining Area,Pool|Dining
8462,431,Conference Room|Parking Facility|Bar,
