,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
0,50926,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
1,86800,10.0,Standard|Deluxe Two beds With View|2 Bedroom Apartment with View|Standard Two Beds With View|Standard Two Beds|Standard Triple|Family Room With View|Junior Suite With View,Standard|Deluxe Two beds With View|2 Bedroom Apartment with View|Standard Two Beds With View|Standard Two Beds|Standard Triple|Family Room With View|Junior Suite With View
2,97069,10.0,Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X)
3,42508,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X)
4,54155,10.0,Saver Single (X)|Classic (2X)|Classic (2X),Saver Single (X)|Classic (2X)|Classic (2X)
5,62818,10.0,Deluxe Studio Twin|Three Bedroom Apartment|Deluxe Studio|Deluxe Studio|Two Bedroom Deluxe Apartment|One Bedroom Apartment|One Bedroom Apartment,Deluxe Studio Twin|Three Bedroom Apartment|Deluxe Studio|Deluxe Studio|Two Bedroom Deluxe Apartment|One Bedroom Apartment|One Bedroom Apartment
6,83009,10.0,Saver Single (X)|Classic (2X)|Saver Double (X),Saver Single (X)|Classic (2X)|Saver Double (X)
7,96197,7.5,Spot on Deluxe Family|Spot on Deluxe Double|Spot on Superior Family|Spot on Standard Double	,Spot on Deluxe Family|Spot on Deluxe Double|Spot on Superior Family|
8,103259,7.5,Standard Double Room - Shared|Standard Triple Studio|Standard Double Room|Standard Double Studio,Standard Double Room - Shared|Standard Triple Studio|Standard Double Room|
9,94886,8.0,Standard Room Twin|King Suite|Classic (2X)|Standard Room King|Suite,Standard Room Twin|King Suite|Standard Room King|Suite
10,46274,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Saver Double (X)
11,90960,10.0,Japanese Room with Shared Washroom - Quintuple (Smoking)|Japanese Room with Shared Washroom - Triple (Smoking),Japanese Room with Shared Washroom - Quintuple (Smoking)|Japanese Room with Shared Washroom - Triple (Smoking)
12,93058,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
13,42058,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
14,13792,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
15,1209,10.0,Classic (2X)|Saver Single (X)|Suite (4X),Classic (2X)|Saver Single (X)|Suite (4X)
16,86609,10.0,Deluxe Triple Room|Standard Double room - King,Deluxe Triple Room|Standard Double room - King
17,55249,10.0,Saver Double (X)|Saver Single (X)|Classic (2X),Saver Double (X)|Saver Single (X)|Classic (2X)
18,90698,10.0,Deluxe Double|Suite Triple|Suite Family,Deluxe Double|Suite Triple|Suite Family
19,54009,10.0,Classic (2X)|Saver Single (X)|Saver Double (X),Classic (2X)|Saver Single (X)|Saver Double (X)
20,46263,10.0,Classic (2X),Classic (2X)
21,84519,10.0,Classic (2X),Classic (2X)
22,51475,10.0,Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
23,99918,7.142857142857142,Standard|Standard Triple|Standard Two Beds|Standard Quadruple|Family Room|Standard Four Beds|Standard Three beds,Standard|Standard Triple|Standard Two Beds|Standard Quadruple|Family Room|
24,58658,10.0,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON
25,46266,5.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|
26,84997,10.0,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON Deluxe|SPOT ON,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON Deluxe|SPOT ON
27,95634,10.0,Deluxe (3X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Suite (4X)
28,5999,5.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|
29,3133,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
30,43411,10.0,Indonesia Standard Double|Indonesia Standard Single,Indonesia Standard Double|Indonesia Standard Single
31,101119,7.5,Vietnam Superior Double|Vietnam Standard Double|Classic (2X)|Superior Family|Superior Family,Vietnam Superior Double|Vietnam Standard Double|Superior Family|Superior Family
32,75249,10.0,Deluxe (3X),Deluxe (3X)
33,84834,10.0,2 Bedroom Suite|King Bed|King Bed Accessible|2 Queen Bed|2 Queen Bed|1 Bedroom Suite,2 Bedroom Suite|King Bed|King Bed Accessible|2 Queen Bed|2 Queen Bed|1 Bedroom Suite
34,61794,10.0,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON
35,81991,10.0,SPOT ON NON-AC,SPOT ON NON-AC
36,98590,10.0,Standard|Standard|Standard Two Beds,Standard|Standard|Standard Two Beds
37,98883,10.0,Triple Room without AC (1 Double bed + 1 Single bed)|Triple Room (3 single beds) without AC|Double Room without AC|Individual Room without AC|Twin Room without AC,Triple Room without AC (1 Double bed + 1 Single bed)|Triple Room (3 single beds) without AC|Double Room without AC|Individual Room without AC|Twin Room without AC
38,97249,7.142857142857142,Quintuple Room (5 Single beds)|Quadruple Room (1 Double bed + 2 Single beds)|Double Room|Triple Room (1 Double bed + 1 Single bed)|Individual Room|Twin Room|Classic (2X),Quintuple Room (5 Single beds)|Quadruple Room (1 Double bed + 2 Single beds)|Double Room|Triple Room (1 Double bed + 1 Single bed)|Individual Room|
39,43383,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Classic (2X)|Saver Double (X)
40,47602,10.0,Suite Triple|Deluxe Single|Deluxe Double|Deluxe Double|Deluxe Twin,Suite Triple|Deluxe Single|Deluxe Double|Deluxe Double|Deluxe Twin
41,97679,10.0,Indonesia Standard Double|Indonesia Standard Twin,Indonesia Standard Double|Indonesia Standard Twin
42,48932,10.0,Deluxe (3X)|Suite (4X),Deluxe (3X)|Suite (4X)
43,649,10.0,Deluxe (3X)|Saver Single (X)|Saver Single (X)|Classic (2X)|Suite (4X),Deluxe (3X)|Saver Single (X)|Saver Single (X)|Classic (2X)|Suite (4X)
44,2129,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
45,84547,10.0,SPOT ON NON-AC,SPOT ON NON-AC
46,45934,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
47,61676,6.666666666666666,Deluxe (3X)|Suite (4X)|Classic (2X),Deluxe (3X)|Suite (4X)|
48,97685,10.0,Suite Triple Sri Lanka|Deluxe Double Sri Lanka|Suite Double Sri Lanka|Deluxe Triple Sri Lanka|Superior Double Sri Lanka,Suite Triple Sri Lanka|Deluxe Double Sri Lanka|Suite Double Sri Lanka|Deluxe Triple Sri Lanka|Superior Double Sri Lanka
49,54625,10.0,Deluxe (3X),Deluxe (3X)
50,96349,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
51,77955,10.0,Deluxe (3X),Deluxe (3X)
52,61344,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
53,50161,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
54,77212,8.0,Japanese Room with Shared Washroom - Triple (Smoking)|Single Room Smoking|Japanese Room - Single Occupancy|Japanese Room with Shared Washroom - Family (Smoking)|Japanese Room with Shared Washroom - Quadruple (Smoking),Japanese Room with Shared Washroom - Triple (Smoking)|Single Room Smoking|Japanese Room - Single Occupancy|Japanese Room with Shared Washroom - Family (Smoking)|
55,80199,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
56,14850,10.0,Deluxe (3X)|Suite (4X)|Classic (2X),Deluxe (3X)|Suite (4X)|Classic (2X)
57,97516,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
58,85315,10.0,Deluxe (3X)|Suite (4X),Deluxe (3X)|Suite (4X)
59,100112,10.0,Deluxe (3X),Deluxe (3X)
60,92749,10.0,Deluxe (3X),Deluxe (3X)
61,77828,0.0,Classic (2X),
62,60483,8.333333333333334,Superior Double|Superior Twin|Classic (2X)|Deluxe Double|Suite|Standard Twin,Superior Double|Superior Twin|Deluxe Double|Suite|Standard Twin
63,49714,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
64,80511,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Saver Double (X)
65,96180,10.0,Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
66,58644,10.0,Deluxe (3X),Deluxe (3X)
67,93826,10.0,Standard|Standard One Single Bed|Standard Triple,Standard|Standard One Single Bed|Standard Triple
68,57167,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X)|Saver Double (X)
69,92718,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
70,86333,10.0,Superior|Superior|Standard Two Beds|Standard|Deluxe double,Superior|Superior|Standard Two Beds|Standard|Deluxe double
71,35623,10.0,Saver Single (X)|Classic (2X)|Classic (2X),Saver Single (X)|Classic (2X)|Classic (2X)
72,87399,10.0,Suite (4X)|Classic (2X),Suite (4X)|Classic (2X)
73,61808,10.0,Suite (4X)|Classic (2X),Suite (4X)|Classic (2X)
74,90662,10.0,Indonesia Deluxe Double|Indonesia Deluxe Twin,Indonesia Deluxe Double|Indonesia Deluxe Twin
75,87678,10.0,Indonesia Deluxe Double|Indonesia Deluxe Twin,Indonesia Deluxe Double|Indonesia Deluxe Twin
76,98891,10.0,Standard Two Beds|Deluxe double|Standard Suite|Deluxe Two beds|Standard Quintuple|Standard Three beds,Standard Two Beds|Deluxe double|Standard Suite|Deluxe Two beds|Standard Quintuple|Standard Three beds
77,4199,10.0,Suite (4X)|Deluxe (3X)|Classic (2X)|Classic (2X),Suite (4X)|Deluxe (3X)|Classic (2X)|Classic (2X)
78,96211,8.333333333333334,Standard Triple|Suite Triple|Standard Double|Malaysia Deluxe Triple|Standard Twin|Suite Family,Standard Triple|Standard Double|Malaysia Deluxe Triple|Standard Twin|Suite Family
79,78661,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
80,91418,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
81,90642,8.0,Standard Quadruple|Classic (2X)|Superior Family Room|Philippines Standard Double |Philippines Superior Double,Standard Quadruple|Superior Family Room|Philippines Standard Double |Philippines Superior Double
82,46989,10.0,Deluxe (3X)|Saver Double (X),Deluxe (3X)|Saver Double (X)
83,47858,10.0,Classic (2X),Classic (2X)
84,44325,10.0,Classic (2X),Classic (2X)
85,94861,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
86,96824,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
87,60497,10.0,Classic (2X),Classic (2X)
88,44899,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
89,92785,10.0,Classic (2X),Classic (2X)
90,82435,10.0,Classic (2X)|Saver Double (X),Classic (2X)|Saver Double (X)
91,81996,10.0,Classic (2X),Classic (2X)
92,79440,10.0,Classic (2X)|Saver Double (X),Classic (2X)|Saver Double (X)
93,91722,10.0,Standard Double|Suite Family,Standard Double|Suite Family
94,9900,10.0,Classic (2X),Classic (2X)
95,18298,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
96,103383,0.0,SPOT ON NON-AC,
97,76011,0.0,Classic (2X),
98,35041,0.0,Classic (2X),
99,44466,0.0,Classic (2X),
100,8412,0.0,Suite (4X)|Classic (2X)|Classic (2X),
101,51365,0.0,Classic (2X),
102,90648,0.0,Classic (2X),
103,4851,0.0,Classic (2X)|Classic (2X),
104,59122,0.0,Classic (2X),
105,90372,0.0,Classic (2X),
106,87537,10.0,Classic (2X)|Saver Double (X),Classic (2X)|Saver Double (X)
107,48620,10.0,Classic (2X),Classic (2X)
108,81195,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
109,48305,10.0,Classic (2X)|Classic (2X)|Saver Double (X),Classic (2X)|Classic (2X)|Saver Double (X)
110,4840,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
111,103397,7.5,Saver Single|Deluxe Single|Indonesia Deluxe Double|Saver Double,Saver Single|Deluxe Single|Saver Double
112,9756,10.0,Classic (2X),Classic (2X)
113,88876,10.0,Classic (2X),Classic (2X)
114,53460,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
115,97834,10.0,Classic (2X),Classic (2X)
116,50735,10.0,Classic (2X),Classic (2X)
117,61819,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
118,5591,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
119,46831,5.0,Classic (2X)|Saver Double (X),Saver Double (X)
120,54037,10.0,Classic (2X),Classic (2X)
121,84401,10.0,Classic (2X),Classic (2X)
122,39049,10.0,Classic (2X)|Classic (2X)|Saver Double (X),Classic (2X)|Classic (2X)|Saver Double (X)
123,42638,10.0,Classic (2X),Classic (2X)
124,74498,6.666666666666666,Classic (2X)|Saver Single (X)|Saver Double (X),Classic (2X)|Saver Double (X)
125,82612,0.0,Classic (2X)|Classic (2X),
126,85267,0.0,Capsule Double Room|Beach Villa Twin|Classic (2X)|Classic (2X),
127,638,0.0,Classic (2X)|Classic (2X),
128,1535,0.0,Classic (2X)|Classic (2X),
129,45194,0.0,Classic (2X),
130,8274,0.0,Classic (2X),
131,13522,0.0,Classic (2X),
132,12310,0.0,Classic (2X)|Classic (2X),
133,18174,0.0,Saver Double (X)|Saver Single (X)|Classic (2X)|Classic (2X),
134,96073,10.0,Vietnam Deluxe Double|Superior Family,Vietnam Deluxe Double|Superior Family
135,80351,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
136,91868,10.0,Classic (2X),Classic (2X)
137,58216,10.0,Classic (2X),Classic (2X)
138,49981,10.0,Classic (2X),Classic (2X)
139,48173,10.0,Classic (2X),Classic (2X)
140,20233,10.0,Classic (2X),Classic (2X)
141,15609,0.0,Classic (2X)|Classic (2X),
142,101434,0.0,Classic (2X),
143,16768,0.0,Classic (2X),
144,89762,10.0,SPOT ON Twin|SPOT ON Double,SPOT ON Twin|SPOT ON Double
145,102756,0.0,SPOT ON NON-AC SAVER|SPOT ON NON-AC|Classic (2X)|SPOT ON,
146,1195,0.0,Classic (2X),
147,10358,0.0,Classic (2X),
148,10212,0.0,Deluxe (3X)|Classic (2X),
149,17969,0.0,Classic (2X)|Classic (2X),
150,57747,0.0,Classic (2X),
151,8845,0.0,Classic (2X),
152,17834,0.0,Saver Double (X)|Saver Double (X)|Classic (2X)|Classic (2X),
153,98731,0.0,Deluxe (3X),
154,5414,0.0,Classic (2X),
155,4227,0.0,Classic (2X),
156,19156,0.0,Saver Double (X)|Classic (2X),
157,17378,0.0,Classic (2X),
158,103363,0.0,Classic (2X)|Classic (2X),
159,100365,0.0,SPOT ON NON-AC SAVER|SPOT ON NON-AC SAVER|SPOT ON Deluxe|SPOT ON NON-AC,
160,51812,0.0,Classic (2X),
161,89171,0.0,Classic (2X),
162,90780,0.0,Classic (2X),
163,100857,0.0,Deluxe (3X),
164,3338,0.0,Classic (2X)|Classic (2X),
165,103110,0.0,Classic with Twin Bed|Saver Double (X)|Classic (2X),
166,96962,0.0,Indonesia Standard Double|Indonesia Standard Double,
167,55086,0.0,Classic (2X),
168,35044,0.0,Classic (2X),
169,57800,0.0,Classic (2X),
170,94259,0.0,Classic (2X),
171,18582,0.0,Classic (2X),
172,16166,0.0,Classic (2X),
173,16017,0.0,Classic (2X),
174,93820,0.0,Philippines Standard Single  |Classic (2X),
175,3915,0.0,Classic (2X)|Classic (2X),
176,9143,0.0,Classic (2X),
177,73311,10.0,Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
178,76017,10.0,Indonesia Standard Double|Indonesia Standard Twin,Indonesia Standard Double|Indonesia Standard Twin
179,99620,10.0,Superior Double|Bed in 6-Bed Mixed Dorm Room|Bed in 8-Bed Mixed Dorm Room|Bed in 10-Bed Mixed Dorm Room|Thailand Family Suite|Bed in 4-Bed Mixed Dorm Room,Superior Double|Bed in 6-Bed Mixed Dorm Room|Bed in 8-Bed Mixed Dorm Room|Bed in 10-Bed Mixed Dorm Room|Thailand Family Suite|Bed in 4-Bed Mixed Dorm Room
180,94096,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
181,3310,10.0,Deluxe (3X)|Suite (4X),Deluxe (3X)|Suite (4X)
182,60582,10.0,Indonesia Standard Double|Indonesia Deluxe Double|Indonesia Suite Double|Indonesia Standard Single,Indonesia Standard Double|Indonesia Deluxe Double|Indonesia Suite Double|Indonesia Standard Single
183,93798,10.0,Delux Family|Indonesia Deluxe Double|Indonesia Standard Twin|Saver Double,Delux Family|Indonesia Deluxe Double|Indonesia Standard Twin|Saver Double
184,102044,10.0,Queen Bed|2 Full Bed|King Bed Smoking|Full Bed Smoking|2 Full Bed Smoking|2 Queen Bed|King Bed|2 Queen Bed Smoking|Full Bed,Queen Bed|2 Full Bed|King Bed Smoking|Full Bed Smoking|2 Full Bed Smoking|2 Queen Bed|King Bed|2 Queen Bed Smoking|Full Bed
185,37128,10.0,Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|Classic (2X)|Classic (2X)
186,88727,10.0,SPOT ON NON-AC,SPOT ON NON-AC
187,15258,10.0,Deluxe (3X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Suite (4X)
188,78112,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Saver Double (X)
189,104418,8.333333333333334,Superior Double|Deluxe Double|Thailand Triple Suite|Suite|Classic (2X)|Deluxe Twin,Superior Double|Deluxe Double|Thailand Triple Suite|Suite|Deluxe Twin
190,96399,10.0,Superior|Standard Triple|Standard Triple|Standard Two Beds,Superior|Standard Triple|Standard Triple|Standard Two Beds
191,95145,10.0,Deluxe (3X),Deluxe (3X)
192,48640,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
193,14847,10.0,Saver Single (X)|Classic (2X),Saver Single (X)|Classic (2X)
194,19741,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
195,81541,10.0,Deluxe (3X)|Suite (4X)|Classic (2X),Deluxe (3X)|Suite (4X)|Classic (2X)
196,36672,10.0,Saver Double (X)|Classic (2X)|Classic (2X),Saver Double (X)|Classic (2X)|Classic (2X)
197,10527,0.0,Classic (2X),
198,61496,6.666666666666666,Classic (2X)|Classic (2X)|Deluxe (3X)|Suite (4X)|Suite (4X),Deluxe (3X)|Suite (4X)|Suite (4X)
199,48330,10.0,Classic (2X),Classic (2X)
200,42376,10.0,Classic (2X),Classic (2X)
201,56416,10.0,Classic (2X)|Saver Double (X),Classic (2X)|Saver Double (X)
202,39637,10.0,Classic (2X)|Saver Single (X),Classic (2X)|Saver Single (X)
203,97100,10.0,Classic with View,Classic with View
204,79305,8.0,Vietnam Superior Double|Vietnam Studio Apartment|Deluxe Family Vietnam|Classic (2X)|Superior Family,Vietnam Superior Double|Vietnam Studio Apartment|Deluxe Family Vietnam|Superior Family
205,61209,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
206,37986,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
207,74692,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
208,95297,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Classic (2X)|Suite (4X)
209,48347,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X)|Suite (4X),Deluxe (3X)|Classic (2X)|Saver Double (X)|Suite (4X)
210,100843,10.0,Vietnam Superior Double|Vietnam Deluxe Double|Vietnam Standard Double|Vietnam Superior Twin|Vietnam Suite Family|Vietnam Standard Twin|Vietnam Deluxe Twin,Vietnam Superior Double|Vietnam Deluxe Double|Vietnam Standard Double|Vietnam Superior Twin|Vietnam Suite Family|Vietnam Standard Twin|Vietnam Deluxe Twin
211,99631,10.0,Indonesia Standard Double|Suite Twin Indonesia|Indonesia Deluxe Double|Indonesia Suite Double|Indonesia Deluxe Twin|Indonesia Standard Twin,Indonesia Standard Double|Suite Twin Indonesia|Indonesia Deluxe Double|Indonesia Suite Double|Indonesia Deluxe Twin|Indonesia Standard Twin
212,89624,8.333333333333334,Superior Double|Thailand Family Suite|Superior Twin|Standard Double|Saver double|Classic (2X),Superior Double|Thailand Family Suite|Superior Twin|Standard Double|Saver double|
213,92293,10.0,Suite Triple|Standard Queen|Deluxe Twin|Standard Twin|Deluxe Queen,Suite Triple|Standard Queen|Deluxe Twin|Standard Twin|Deluxe Queen
214,92923,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
215,74684,10.0,Deluxe Double Sri Lanka|Standard Double Sri Lanka,Deluxe Double Sri Lanka|Standard Double Sri Lanka
216,74785,10.0,Deluxe (3X)|Saver Single (X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Saver Single (X)|Classic (2X)|Saver Double (X)
217,61968,10.0,Deluxe (3X)|Suite (4X)|Classic (2X)|Classic (2X),Deluxe (3X)|Suite (4X)|Classic (2X)|Classic (2X)
218,42798,10.0,Deluxe (3X)|Suite (4X)|Classic (2X),Deluxe (3X)|Suite (4X)|Classic (2X)
219,42967,6.666666666666666,Saver Single (X)|Deluxe (3X)|Classic (2X)|Classic (2X),Saver Single (X)|Deluxe (3X)|
220,47132,5.0,Deluxe (3X)|Deluxe (3X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|
221,56726,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
222,99330,10.0,Indonesia Standard Double|Indonesia Deluxe Twin|Indonesia Standard Twin,Indonesia Standard Double|Indonesia Deluxe Twin|Indonesia Standard Twin
223,86485,6.666666666666666,SPOT ON NON-AC|SPOT ON|Classic (2X),SPOT ON NON-AC|SPOT ON|
224,101743,10.0,Junior Suite|Standard Double - King|Deluxe Double - Twin|Standard Double - Twin|Executive Suite,Junior Suite|Standard Double - King|Deluxe Double - Twin|Standard Double - Twin|Executive Suite
225,59572,10.0,Classic with Twin Bed|Deluxe (3X)|Classic (2X),Classic with Twin Bed|Deluxe (3X)|Classic (2X)
226,85591,7.5,Triple Room (3 Single beds)|Triple Room (3 Single beds)|Double Room|Classic (2X)|Triple Room (1 Double bed + 1 Single bed),Triple Room (3 Single beds)|Triple Room (3 Single beds)|Double Room|Triple Room (1 Double bed + 1 Single bed)
227,99659,3.333333333333333,Bed in 10-Bed Mixed Dorm Room|Private Double room with shared washroom	|Classic (2X),Bed in 10-Bed Mixed Dorm Room|
228,95283,10.0,Deluxe (3X)|Classic (2X)|Classic (2X)|Saver Double (X),Deluxe (3X)|Classic (2X)|Classic (2X)|Saver Double (X)
229,87062,10.0,Single Room Smoking|Japanese Room - Twin (Smoking)|Japanese Room - Twin (Non-Smoking)|Single Room,Single Room Smoking|Japanese Room - Twin (Smoking)|Japanese Room - Twin (Non-Smoking)|Single Room
230,52209,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
231,39541,10.0,Saver Single (X)|Saver Single (X)|Classic (2X)|Classic (2X)|Saver Double (X)|Saver Double (X),Saver Single (X)|Saver Single (X)|Classic (2X)|Classic (2X)|Saver Double (X)|Saver Double (X)
232,85897,10.0,SPOT ON NON-AC,SPOT ON NON-AC
233,84961,10.0,SPOT ON NON-AC,SPOT ON NON-AC
234,49520,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
235,57156,6.666666666666666,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON|Classic (2X),SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON|
236,101020,10.0,Deluxe (3X)|Deluxe (3X)|Classic (2X),Deluxe (3X)|Deluxe (3X)|Classic (2X)
237,51160,10.0,Standard Double Room - Shared|Standard Single Room - Shared|Standard Double Room|Standard Double Room|Standard Quad Room - Shared|Standard Twin Room - Shared|Standard Single Room,Standard Double Room - Shared|Standard Single Room - Shared|Standard Double Room|Standard Double Room|Standard Quad Room - Shared|Standard Twin Room - Shared|Standard Single Room
238,80025,10.0,SPOT ON Deluxe|SPOT ON NON-AC|SPOT ON NON-AC SAVER|SPOT ON,SPOT ON Deluxe|SPOT ON NON-AC|SPOT ON NON-AC SAVER|SPOT ON
239,74189,8.75,Suite Triple|Deluxe Single|Deluxe Double|Classic (2X)|Superior King Room|Standard Double|Suite Family|Deluxe Twin,Suite Triple|Deluxe Single|Deluxe Double|Superior King Room|Standard Double|Suite Family|Deluxe Twin
240,86035,10.0,Deluxe (3X)|Saver Double (X),Deluxe (3X)|Saver Double (X)
241,93792,6.666666666666666,Superior Double|Standard Double|Classic (2X),Superior Double|Standard Double|
242,47911,10.0,Deluxe (3X)|Classic (2X)|Saver Double (X)|Suite (4X),Deluxe (3X)|Classic (2X)|Saver Double (X)|Suite (4X)
243,87984,10.0,SPOT ON NON-AC|SPOT ON,SPOT ON NON-AC|SPOT ON
244,54785,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
245,97735,10.0,Indonesia Standard Double,Indonesia Standard Double
246,92161,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
247,91711,10.0,SPOT ON Deluxe,SPOT ON Deluxe
248,97392,10.0,Deluxe (3X),Deluxe (3X)
249,95454,10.0,Indonesia Standard Double|Indonesia Standard Double,Indonesia Standard Double|Indonesia Standard Double
250,85132,10.0,SPOT ON NON-AC|SPOT ON NON-AC,SPOT ON NON-AC|SPOT ON NON-AC
251,51489,10.0,Deluxe (3X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Suite (4X)
252,92006,5.0,SPOT ON NON-AC|SPOT ON NON-AC|Classic (2X),SPOT ON NON-AC|SPOT ON NON-AC|
253,86949,10.0,Standard|Standard Two Beds,Standard|Standard Two Beds
254,91863,10.0,Indonesia Standard Double|Indonesia Deluxe Double|Indonesia Standard Single|Indonesia Standard Twin,Indonesia Standard Double|Indonesia Deluxe Double|Indonesia Standard Single|Indonesia Standard Twin
255,55696,10.0,SPOT ON NON-AC|SPOT ON,SPOT ON NON-AC|SPOT ON
256,95429,10.0,Deluxe (3X)|Classic (2X)|Suite (4X),Deluxe (3X)|Classic (2X)|Suite (4X)
257,44145,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
258,101611,0.0,Deluxe Family Room|Standard Double|Deluxe Double,
259,62882,3.333333333333333,Indonesia Standard Double|Indonesia Deluxe Twin|Indonesia Deluxe Double,Indonesia Standard Double|
260,93224,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
261,57018,10.0,Saver Single (X)|Saver Single (X)|Classic (2X)|Classic (2X),Saver Single (X)|Saver Single (X)|Classic (2X)|Classic (2X)
262,79558,10.0,Indonesia Deluxe Double|Indonesia Deluxe Twin,Indonesia Deluxe Double|Indonesia Deluxe Twin
263,42649,10.0,Suite (4X)|Classic (2X)|Deluxe (3X),Suite (4X)|Classic (2X)|Deluxe (3X)
