,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
28419,59762,10.0,Saver Single (X)|Deluxe (3X)|Classic (2X)|Classic (2X),Saver Single (X)|Deluxe (3X)|Classic (2X)|Classic (2X)
28420,103266,10.0,Superior Double,Superior Double
28421,46191,10.0,Deluxe (3X)|Classic (2X),Deluxe (3X)|Classic (2X)
28422,17163,10.0,Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
28423,53653,6.666666666666666,SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON|Deluxe (3X),SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON|SPOT ON|
28424,81916,10.0,SPOT ON Deluxe|SPOT ON NON-AC|SPOT ON NON-AC,SPOT ON Deluxe|SPOT ON NON-AC|SPOT ON NON-AC
28425,41964,5.0,Indonesia Standard Double|Indonesia Standard Double|Classic (2X),Indonesia Standard Double|Indonesia Standard Double|
28426,91937,10.0,Deluxe (3X),Deluxe (3X)
28427,91625,10.0,Deluxe (3X),Deluxe (3X)
28428,37045,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28429,88039,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28430,103002,7.5,Standard Double|Thailand Standard Single|Classic (2X)|Standard Twin,Standard Double|Thailand Standard Single|Standard Twin
28431,8571,10.0,Classic (2X)|Classic (2X)|Deluxe (3X),Classic (2X)|Classic (2X)|Deluxe (3X)
28432,90286,10.0,SPOT ON|SPOT ON NON-AC,SPOT ON|SPOT ON NON-AC
28433,42687,10.0,Classic (2X),Classic (2X)
28434,40901,10.0,Classic (2X)|Deluxe (3X),Classic (2X)|Deluxe (3X)
28435,50022,10.0,Classic (2X),Classic (2X)
28436,95208,10.0,Classic (2X),Classic (2X)
28437,45252,5.0,Classic (2X)|Classic (2X)|Deluxe (3X),Classic (2X)|Classic (2X)|
28438,6360,10.0,Suite (4X)|Deluxe (3X),Suite (4X)|Deluxe (3X)
