,hotel_id,no_of_comments
455,57187,58
456,76481,0
457,96571,0
458,82171,20
459,45681,0
460,40177,1
461,101175,2
462,94481,0
463,62331,50
464,100860,0
465,81884,10
466,94425,0
467,40731,18
468,38374,47
469,62275,9
470,50178,11
471,91604,0
472,85343,21
473,75173,18
474,36245,28
475,62168,26
476,101622,0
477,73224,49
478,86963,0
479,83507,35
480,99569,0
481,98056,0
482,84134,0
483,95204,0
484,73497,27
485,37325,44
486,57041,2
487,52591,8
488,36574,9
489,62151,3
490,98045,0
491,48859,26
492,76073,72
493,87855,0
494,50018,11
495,47945,52
496,2891,4
497,77111,5
498,101136,0
499,2182,90
500,61091,68
501,76070,0
502,99417,0
503,102387,0
504,86246,0
505,48693,79
506,91140,11
507,54653,17
508,61527,9
509,95384,0
510,94329,0
511,76065,93
512,93865,0
513,98050,1
514,93244,0
515,89534,5
516,57488,2
517,59465,1
518,90122,4
519,44359,41
520,35812,13
521,13376,3
522,100413,0
523,94605,0
524,100905,0
525,88308,8
526,86792,32
527,59769,55
528,97592,0
529,14754,5
530,36861,28
531,19052,9
532,99552,0
533,94594,0
534,100272,0
535,49455,61
536,41521,46
537,80095,39
538,56779,78
539,94155,0
540,87872,1
541,97744,0
542,47028,0
543,2759,70
544,85768,10
545,87433,6
546,54951,3
547,95775,0
548,75502,9
549,84907,10
550,12341,0
551,41057,24
552,61257,21
553,62871,38
554,99718,0
555,92532,0
556,62756,36
557,83543,0
558,83574,6
559,79215,18
560,100438,0
561,8277,20
562,93415,0
563,61701,1
564,10555,0
565,103453,0
566,13241,56
567,91182,0
568,75013,76
569,100579,0
570,92650,1
571,85889,0
572,84893,11
573,81448,13
574,96866,0
575,53725,29
576,99243,0
577,101023,0
578,50465,9
579,86370,0
580,46578,9
581,90743,1
582,94751,0
583,90873,2
584,48533,62
585,91497,0
586,93134,2
587,95474,0
588,91913,2
589,39845,25
590,18315,32
591,43428,94
592,45093,86
593,58104,25
594,51098,66
595,38644,76
596,97412,0
597,79330,16
598,41088,66
599,88766,0
600,82213,1
601,48558,1
602,93103,5
603,99963,0
604,96534,0
605,94633,0
606,13553,54
607,57325,2
608,90147,0
609,75283,17
610,103726,0
611,104781,0
612,78143,60
613,49160,10
614,81721,9
615,101532,0
616,89832,0
617,42697,11
618,84722,4
619,6629,81
620,96118,1
621,84736,40
622,81161,15
623,76835,3
624,37027,3
625,100151,0
626,35412,22
627,48364,46
628,43754,19
629,96700,0
630,46283,8
631,75336,21
632,79057,67
633,86083,0
634,74408,18
635,58579,0
636,93145,0
637,48077,52
638,102224,0
639,45830,37
640,96529,0
641,19499,53
642,86522,20
643,100885,0
644,96551,0
645,91030,4
646,82331,28
647,86572,7
648,103886,0
649,89095,0
650,99431,0
651,18925,62
652,58593,3
653,78298,3
654,100435,0
655,79780,3
656,40610,48
657,13517,0
658,85478,46
659,93266,8
660,49171,43
661,95944,0
662,98815,0
663,75626,68
664,81015,2
665,57218,22
666,55432,24
667,87593,5
668,8128,14
669,52732,62
670,87135,2
671,9520,27
672,86972,0
673,88949,10
674,87852,5
675,74723,31
676,98070,0
677,18897,35
678,104179,0
679,20292,0
680,90268,0
681,48412,6
682,61077,0
683,81636,6
684,103265,0
685,45819,29
686,46606,38
687,100264,0
688,76976,37
689,98205,0
690,81459,80
691,57828,67
692,43459,93
693,48235,1
694,39696,62
695,93851,0
696,99544,0
697,84460,0
698,83245,36
699,79786,0
700,87880,7
701,41513,21
702,59777,76
703,58129,33
704,46879,6
705,54841,61
706,56034,2
707,101150,1
708,38495,29
709,85807,0
710,46882,7
711,73536,22
712,41344,3
713,90988,0
714,87284,0
715,46474,22
716,101631,0
717,79687,4
718,102379,0
719,86207,2
720,73674,22
721,35961,31
722,95657,0
723,88794,10
724,103144,0
725,97274,0
726,95080,0
727,82947,15
728,104013,0
729,57963,84
730,51123,82
731,48080,1
732,80669,61
733,45068,89
734,39012,40
735,102064,0
736,47346,25
737,74847,85
738,47768,17
739,85622,5
740,88319,0
741,57243,9
742,77969,41
743,86817,8
744,98801,0
745,77879,3
746,96394,0
747,4559,27
748,96844,0
749,101189,0
750,74875,27
751,92065,2
752,47624,38
753,3794,89
754,93407,0
755,92386,3
756,45954,51
757,58391,63
758,89821,1
759,101650,1
760,93840,0
761,61704,53
762,37513,63
763,17280,43
764,84266,0
765,52276,6
766,77260,20
767,41209,84
768,59164,37
769,39583,64
770,94304,0
771,98804,0
772,77139,22
773,92220,3
774,61265,13
775,83557,14
776,88173,0
777,87706,6
778,100430,0
779,91320,0
780,93868,0
781,48679,33
782,99080,0
783,88634,3
784,79797,28
785,10566,0
786,49593,89
787,94934,0
788,101200,0
789,99867,0
790,97738,3
791,46454,18
792,12628,65
793,85920,0
794,40593,62
795,95477,0
796,47796,6
797,38658,5
798,84747,58
799,73522,6
800,20295,36
801,102401,0
802,60517,87
803,85442,30
804,83124,13
805,76349,0
806,39983,63
807,97600,0
808,98939,0
809,86257,2
810,88471,3
811,53643,0
812,92355,1
813,89202,0
814,94124,0
815,815,0
816,92037,2
817,44632,18
818,82961,25
819,13967,0
820,85183,5
821,95823,0
822,103903,1
823,13697,95
824,20289,26
825,83082,3
826,103847,0
827,81431,23
828,37297,85
829,79499,34
830,91309,14
831,39271,0
832,91908,4
833,80371,7
834,50777,50
835,61878,55
836,103113,1
837,90091,0
838,91002,0
839,93556,0
840,98326,0
841,85180,25
842,57952,83
843,101951,0
844,52420,68
845,47354,11
846,100140,0
847,10257,29
848,82652,3
849,58706,11
850,47003,19
851,86530,5
852,86969,1
853,104187,2
854,50797,69
855,42733,45
856,94878,0
857,52459,2
858,91629,1
859,82356,1
860,57983,0
861,74290,75
862,99541,0
863,77108,35
864,47807,37
865,97586,0
866,45861,88
867,92639,0
868,101338,0
869,79350,10
870,92670,0
871,59139,34
872,49140,38
873,75325,32
874,90735,0
875,58292,25
876,99260,0
877,81757,10
878,102851,0
879,93705,1
880,100711,0
881,79946,6
882,50659,83
883,52265,53
884,38512,3
885,56484,33
886,96416,0
887,100849,0
888,104651,0
889,81887,5
890,44919,25
891,2444,12
892,40132,67
893,94796,4
894,77859,30
895,84120,10
896,80247,33
897,104190,0
898,43614,45
899,46131,5
900,98787,0
901,77069,48
902,41068,89
903,94332,0
904,77271,25
905,101203,2
906,90569,1
907,55120,19
908,91314,0
909,6972,31
910,101037,0
911,92324,0
912,96090,0
913,99378,0
914,61392,43
915,49295,45
916,103580,0
917,91179,8
918,37783,33
919,42396,35
920,92487,0
921,74411,18
922,37294,33
923,86094,37
924,91607,4
925,52726,21
926,99814,0
927,47177,4
928,36121,0
929,46449,27
930,88029,1
931,59012,10
932,87568,7
933,82044,0
934,41043,6
935,94453,0
936,16090,17
937,90842,0
938,43304,1
939,91781,0
940,85349,17
941,56641,1
942,73820,6
943,98000,0
944,48983,41
945,88915,8
946,103127,0
947,3366,59
948,82185,2
949,88209,3
950,61850,6
951,59457,0
952,82792,4
953,58250,37
954,84142,31
955,50794,0
956,104027,0
957,49309,50
958,47790,10
959,85627,24
960,8485,0
961,50656,58
962,47070,25
963,39547,86
964,48091,18
965,96883,0
966,78908,0
967,50184,20
968,100002,0
969,102536,6
970,53016,63
971,81150,30
972,9818,6
973,90850,0
974,15151,94
975,75907,40
976,77572,10
977,95499,1
978,97302,1
979,103439,0
980,53168,6
981,46890,3
982,85512,2
983,90271,0
984,58090,19
985,95952,0
986,54071,50
987,96228,0
988,43881,13
989,96835,0
990,75755,55
991,94945,1
992,94031,0
993,83546,27
994,53792,50
995,104786,0
996,92043,0
997,90538,1
998,88184,0
999,95491,0
1000,62480,0
1001,98095,1
1002,79496,44
1003,80109,78
1004,89396,0
1005,91579,0
1006,59032,38
1007,84407,0
1008,46564,74
1009,62328,25
1010,95814,0
1011,48097,4
1012,18301,31
1013,62728,96
1014,50521,10
1015,45113,40
1016,104052,0
1017,97603,0
